image_index,mse,annotation
857,0.38606533,correct
858,0.9279603,correct
859,0.66957045,correct
860,0.38377255,correct
861,0.35099378,correct
862,0.7393579,correct
863,1.028582,correct
864,2.7205882,correct
865,0.75288326,correct
866,0.91765314,correct
867,0.5500251,correct
868,0.40321994,correct
869,1.3966968,correct
870,2083.8723,incorrect
871,0.25792712,correct
872,0.9199275,correct
873,1350.8469,incorrect
874,443.21674,incorrect
875,1.6054962,correct
876,0.86292684,correct
877,0.8459519,correct
878,1.5257565,correct
879,0.52526367,correct
880,0.61419654,correct
881,0.81498194,correct
882,0.5349482,correct
883,0.6456532,correct
884,0.7056197,correct
885,0.9540994,correct
886,0.7749617,correct
887,0.6801406,correct
888,0.38619122,correct
889,0.41127676,correct
890,0.720778,correct
891,0.49443424,correct
892,0.94137836,correct
893,1.1816618,correct
894,0.60914546,correct
895,1.727943,correct
896,1.4595475,correct
897,0.6466811,correct
898,0.28689325,correct
899,0.693939,correct
900,3.9618735,correct
901,0.8708708,correct
902,0.7183036,correct
903,1.7707312,correct
904,0.7343799,correct
905,0.34015343,correct
906,5.2903004,incorrect
907,1.3227353,correct
908,0.35489196,correct
909,0.87773746,correct
910,0.45059094,correct
911,0.74159014,correct
912,104.6186,incorrect
913,0.47552994,correct
914,0.9560417,correct
915,1.1288311,correct
916,0.52332914,correct
917,0.6093575,correct
918,0.9373275,correct
919,1.3440543,correct
920,0.5903837,correct
921,0.41298687,correct
922,0.7157863,correct
923,0.40528005,correct
924,0.5644247,correct
925,0.671084,correct
926,0.81911415,correct
927,2250.664,incorrect
928,0.69214857,correct
929,3.333443,correct
930,0.5335583,correct
931,0.44931668,correct
932,0.8184964,correct
933,0.3327496,correct
934,0.5790286,correct
935,0.58784974,correct
936,0.48655844,correct
937,0.5481298,correct
938,0.71796405,correct
939,1.3009009,correct
940,0.89948964,correct
941,0.77657086,correct
942,0.65409696,correct
943,1.5332696,correct
944,5.342593,incorrect
945,0.9650127,correct
946,0.7985321,correct
947,0.5465757,correct
948,0.73781914,correct
949,1.3398323,correct
950,5302.374,incorrect
951,8.888623,incorrect
952,1.1659409,correct
953,0.6974595,correct
954,2507.3425,incorrect
955,0.35330567,correct
956,0.5097187,correct
957,0.4293124,correct
958,1.0472543,correct
959,0.85271996,correct
960,0.24865325,correct
961,1001.65063,incorrect
962,0.7072433,correct
963,0.7867859,correct
964,0.26120356,correct
965,0.62165976,correct
966,0.7215841,correct
967,1.5661534,correct
968,1.6025623,correct
969,0.27592653,correct
970,0.54568076,correct
971,0.5188657,correct
972,1.4361384,correct
973,466.9464,incorrect
974,0.65933913,correct
975,0.29427207,correct
976,0.96330404,correct
977,0.59514815,correct
978,0.635646,correct
979,0.6145325,correct
980,0.9430926,correct
981,0.94122934,correct
982,4.1534863,correct
983,0.47643766,correct
984,0.57248175,correct
985,1.3014865,correct
986,2.4539127,correct
987,0.82145286,correct
988,0.469137,correct
989,0.5883311,correct
990,0.41281033,correct
991,1.3068016,correct
992,0.3678655,correct
993,0.7658235,correct
994,0.6708003,correct
995,0.80051285,correct
996,0.71744204,correct
997,0.40612134,correct
998,0.6409247,correct
999,1.164365,correct
1000,0.45050964,correct
1001,0.29510045,correct
1002,0.80165535,correct
1003,7.24947,incorrect
1004,0.86679655,correct
1005,0.66115725,correct
1006,982.0139,incorrect
1007,1.3773894,correct
1008,0.486115,correct
1009,0.6099111,correct
1010,2.378686,correct
1011,0.4482504,correct
1012,0.18574162,correct
1013,1.5392262,correct
1014,0.74325764,correct
1015,23.950089,incorrect
1016,0.30053675,correct
1017,0.32890478,correct
1018,0.47255552,correct
1019,0.485579,correct
1020,1.7650958,correct
1021,0.74745095,correct
1022,0.6868,correct
1023,0.7742036,correct
1024,0.8265436,correct
1025,0.33869332,correct
1026,0.7702377,correct
1027,1.0773003,correct
1028,1.5547409,correct
1029,1.4831443,correct
1030,0.6816638,correct
1031,0.89496577,correct
1032,0.457258,correct
1033,0.74985015,correct
1034,0.7415691,correct
1035,0.84541976,correct
1036,0.8918674,correct
1037,0.22934115,correct
1038,0.5803195,correct
1039,1.0286746,correct
1040,0.33756086,correct
1041,0.56350017,correct
1042,0.21755165,correct
1043,1226.7305,incorrect
1044,1.0512438,correct
1045,1.2607971,correct
1046,0.6779282,correct
1047,79.08702,incorrect
1048,0.4700531,correct
1049,0.78409564,correct
1050,0.55567694,correct
1051,0.46639884,correct
1052,0.96732503,correct
1053,0.54933006,correct
1054,0.5832179,correct
1055,0.5430634,correct
1056,0.58217525,correct
1057,0.37032992,correct
1058,0.48848537,correct
1059,1.0033641,correct
1060,0.39555186,correct
1061,0.5192367,correct
1062,1.4249555,correct
1063,0.86156785,correct
1064,0.2532416,correct
1065,1.0075725,correct
1066,0.80794764,correct
1067,0.33045143,correct
1068,0.82410395,correct
1069,0.60735583,correct
1070,1.6080759,correct
1071,0.8154408,correct
1072,1.4684553,correct
1073,0.5354992,correct
1074,1.5427513,correct
1075,0.45026392,correct
1076,0.3473666,correct
1077,0.99523246,correct
1078,0.6971699,correct
1079,0.5072479,correct
1080,0.20748857,correct
1081,1.4712961,correct
1082,0.5462142,correct
1083,0.3721646,correct
1084,0.9902879,correct
1085,0.38686758,correct
1086,1.4623744,correct
1087,0.6910494,correct
1088,0.46008867,correct
1089,0.7075323,correct
1090,1.815947,correct
1091,0.3444162,correct
1092,0.49777436,correct
1093,0.6769516,correct
1094,1.1479714,correct
1095,0.5538665,correct
1096,0.38469347,correct
1097,0.7561356,correct
1098,0.8191592,correct
1099,2.5060596,correct
1100,0.49231952,correct
1101,0.62150246,correct
1102,5.048719,incorrect
1103,0.71508265,correct
1104,0.86023355,correct
1105,775.97,incorrect
1106,1.5173202,correct
1107,0.61792743,correct
1108,485.8865,incorrect
1109,0.4146674,correct
1110,0.68372256,correct
1111,0.43718174,correct
1112,1.1100397,correct
1113,0.55541635,correct
1114,0.2994827,correct
1115,0.62692463,correct
1116,866.83923,incorrect
1117,2.2322626,correct
1118,0.9650388,correct
1119,0.76087695,correct
1120,0.41053528,correct
1121,0.76370853,correct
1122,0.6981698,correct
