image_index,mse,annotation
924,0.6799232,correct
925,1.7894284,correct
926,0.64356446,correct
927,0.7778457,correct
928,0.5438915,correct
929,0.69194365,correct
930,1.2663549,correct
931,0.97259116,correct
932,0.51623726,correct
933,0.867158,correct
934,1.1433586,correct
935,0.73620695,correct
936,0.6165712,correct
937,0.60898817,correct
938,0.59013164,correct
939,1.0926367,correct
940,0.85919553,correct
941,0.9666142,correct
942,0.36897814,correct
943,0.910688,correct
944,1.1661459,correct
945,0.4376747,correct
946,0.7530205,correct
947,1801.2454,incorrect
948,1.2732599,correct
949,0.549309,correct
950,0.35147083,correct
951,0.41662472,correct
952,1.0653085,correct
953,0.5949061,correct
954,0.95073354,correct
955,0.91985667,correct
956,0.55323434,correct
957,1.3739715,correct
958,1.5221069,correct
959,1.269218,correct
960,0.84365743,correct
961,0.47184008,correct
962,1.5550112,correct
963,1.7597821,correct
964,0.6042365,correct
965,0.8922323,correct
966,0.5758113,correct
967,0.25034398,correct
968,1.2371423,correct
969,0.6059772,correct
970,0.5254507,correct
971,0.50659287,correct
972,0.87942696,correct
973,1.515171,correct
974,1.2356584,correct
975,0.698005,correct
976,0.6851669,correct
977,0.3896942,correct
978,0.75211483,correct
979,1.4098436,correct
980,0.4504168,correct
981,0.4268637,correct
982,0.9036838,correct
983,0.5470527,correct
984,1.2413111,correct
985,0.7457911,correct
986,1.0751488,correct
987,0.2672007,correct
988,1.3389697,correct
989,0.38993096,correct
990,1.7947026,correct
991,0.57152796,correct
992,0.52796555,correct
993,0.50452644,correct
994,1.1473641,correct
995,0.5341931,correct
996,0.97933877,correct
997,75.30033,incorrect
998,0.6195487,correct
999,0.7558288,correct
1000,0.5408799,correct
1001,0.51791817,correct
1002,0.58179736,correct
1003,875.9916,incorrect
1004,0.43169743,correct
1005,0.49787134,correct
1006,0.5331781,correct
1007,0.77016616,correct
1008,0.8054072,correct
1009,1.3058624,correct
1010,1.2056565,correct
1011,1.5021205,correct
1012,0.93773437,correct
1013,1.0183846,correct
1014,0.50080997,correct
1015,0.5485394,correct
1016,1.977041,correct
1017,0.4007301,correct
1018,0.28015077,correct
1019,0.43183112,correct
1020,0.5552751,correct
1021,0.7596641,correct
1022,94.821434,incorrect
1023,68.44959,incorrect
1024,0.50168115,correct
1025,679.123,incorrect
1026,0.4755116,correct
1027,0.82885647,correct
1028,1.8649942,correct
1029,0.8526653,correct
1030,0.34235337,correct
1031,0.37009293,correct
1032,0.2529399,correct
1033,0.6569016,correct
1034,0.7903353,correct
1035,0.38265753,correct
1036,0.32591474,correct
1037,0.9762379,correct
1038,0.69420755,correct
1039,0.66571426,correct
1040,0.45431975,correct
1041,0.5867926,correct
1042,0.7371437,correct
1043,0.21779847,correct
1044,0.9706547,correct
1045,0.4447446,correct
1046,1.1189255,correct
1047,0.41342986,correct
1048,0.94855213,correct
1049,0.51691926,correct
1050,1338.365,incorrect
1051,1.2139564,correct
1052,0.7101449,correct
1053,1.1132671,correct
1054,55.95151,incorrect
1055,0.968084,correct
1056,0.7586634,correct
1057,0.23673007,correct
1058,0.9849729,correct
1059,0.9125097,correct
1060,0.73354906,correct
1061,1.7648304,correct
1062,1.1254437,correct
1063,0.6292156,correct
1064,0.86291486,correct
1065,0.92839557,correct
1066,0.18604654,correct
1067,0.36530137,correct
1068,0.5556693,correct
1069,0.7843112,correct
1070,0.25229716,correct
1071,0.52042747,correct
1072,0.3798134,correct
1073,0.92707735,correct
1074,0.7049893,correct
1075,0.5844766,correct
1076,0.34617096,correct
1077,1.2593557,correct
1078,11.921422,incorrect
1079,0.44298747,correct
1080,0.8962729,correct
1081,0.7587855,correct
1082,0.27191567,correct
1083,0.7863642,correct
1084,1.1589036,correct
1085,0.59610844,correct
1086,1.0106744,correct
1087,0.54412484,correct
1088,0.6492803,correct
1089,0.49260634,correct
1090,0.6596917,correct
1091,0.43805093,correct
1092,2.762434,correct
1093,0.83960307,correct
1094,0.8548613,correct
1095,1.2427902,correct
1096,0.78054047,correct
1097,1.6053289,correct
1098,0.37995303,correct
1099,1606.9108,incorrect
1100,0.47109795,correct
1101,0.40323532,correct
1102,0.5408468,correct
1103,0.70052254,correct
1104,0.37113357,correct
1105,0.6961869,correct
1106,0.42316887,correct
1107,0.5783552,correct
1108,1.038672,correct
1109,2.131159,correct
1110,0.7037915,correct
1111,0.7122153,correct
1112,0.5331677,correct
1113,334.9981,incorrect
1114,0.9182955,correct
1115,0.758716,correct
1116,0.6212431,correct
1117,0.7602608,correct
1118,0.5191775,correct
1119,0.5837457,correct
1120,0.8167642,correct
1121,0.4344928,correct
1122,0.52740157,correct
1123,0.32272333,correct
1124,1.4551598,correct
1125,1.2867599,correct
1126,0.467274,correct
1127,0.57304347,correct
1128,0.77422607,correct
1129,0.5126952,correct
1130,0.62087417,correct
1131,0.86312574,correct
1132,0.5969965,correct
1133,0.48847392,correct
1134,0.54539037,correct
1135,0.8253201,correct
1136,0.5134592,correct
1137,0.42921284,correct
1138,1.2991048,correct
1139,0.7686521,correct
1140,1.3210479,correct
1141,1.6274043,correct
1142,0.78623885,correct
1143,30.955336,incorrect
1144,0.5908582,correct
1145,0.3930095,correct
1146,0.44539857,correct
1147,1.3302418,correct
1148,0.35515898,correct
1149,0.391505,correct
1150,0.72810185,correct
1151,0.49332345,correct
1152,0.744519,correct
1153,0.9335445,correct
1154,0.5561248,correct
1155,0.6667092,correct
1156,0.53950304,correct
1157,0.3572682,correct
1158,0.478054,correct
1159,1.1609124,correct
1160,0.85170424,correct
1161,6.6048374,incorrect
1162,0.50141084,correct
1163,0.3839215,correct
1164,0.84026587,correct
1165,0.35350925,correct
1166,0.7974638,correct
1167,0.60434103,correct
1168,0.5121196,correct
1169,0.5339472,correct
1170,0.74461925,correct
1171,1.3780516,correct
1172,0.6373943,correct
1173,1.4078431,correct
1174,0.6230078,correct
1175,0.61123043,correct
1176,3.639663,correct
